編號,_名稱,_坐標84X,_坐標84Y,_可停車位,_可借車數,_地址,
_&_56,_酒泉延平路口,_121.510192871094,_25.0722274780273,_16,_16,_延平北路四段/酒泉街(西北側),
_&_57,_信義建國路口,_121.537330627441,_25.0329818725586,_38,_7,_信義路三段/建國南路二段(西南側),
_&_58,_臺北孔廟,_121.515846252441,_25.0733051300049,_14,_18,_哈密街59巷/哈密街(東北側),
_&_59,_河堤國小,_121.522857666016,_25.0228805541992,_26,_18,_金門街12巷23弄1號旁,
_&_60,_建國農安街口,_121.536773681641,_25.0650310516357,_38,_6,_建國北路/農安街口(中油旁邊空地),
_&_61,_興安華城,_121.542320251465,_25.0559978485107,_62,_34,_興安街/遼寧街,
_&_62,_林安泰古厝,_121.530807495117,_25.071605682373,_16,_19,_吉林路/民族東路(北側),
_&_63,_捷運忠孝復興站(2號出口),_121.543495178223,_25.0401840209961,_41,_13,_復興南路一段/仁愛路三段123巷13弄(西北側),
_&_64,_捷運菜寮站(3號出口),_121.492195129395,_25.0604705810547,_11,_19,_重新路三段67號旁,
_&_65,_新北市立圖書館三重分館,_121.495529174805,_25.0660991668701,_29,_21,_自強路一段162號至自強路一段二弄4號(對面停車場),
_&_66,_捷運南京復興站(5號出口),_121.544845581055,_25.0516185760498,_30,_21,_南京東路三段/南京東路三段256巷(東南側),
_&_67,_正義公園,_121.497817993164,_25.0685501098633,_15,_36,_文化北路101號至119號對面,
_&_68,_新生和平路口,_121.535186767578,_25.026216506958,_39,_7,_新生南路二段/和平東路二段(東北側),
_&_69,_三重綜合體育館,_121.491928100586,_25.0614452362061,_24,_27,_新北大道一段1號前人行道,
_&_70,_榮星花園,_121.540367126465,_25.0642395019531,_22,_10,_五常街/龍江路口(西南側),
_&_71,_臺北市立圖書館(總館),_121.538070678711,_25.0287971496582,_16,_14,_建國南路二段/建國南路二段151巷(東北側),
_&_72,_臺北市客家文化主題公園,_121.525321960449,_25.0204296112061,_22,_10,_師大路/汀州路交叉口,
_&_73,_集成成功路口,_121.488204956055,_25.0515422821045,_27,_5,_集成路2號至8號前人行道,
_&_74,_青年公園3號出口,_121.502708435059,_25.0227241516113,_26,_12,_青年路/青年路106巷(東側),
_&_75,_三重國民運動中心,_121.488487243652,_25.0543918609619,_57,_11,_集美街/重新路四段184巷,
_&_76,_華江高中,_121.495872497559,_25.0275096893311,_34,_9,_東園街/東園街35巷(東北側),
_&_77,_瑠公公園,_121.546051025391,_25.0423412322998,_21,_8,_大安路一段/大安路一段75巷(西側),
_&_78,_捷運台電大樓站(2號出口),_121.528549194336,_25.0205478668213,_34,_5,_羅斯福路/辛亥路交叉口(古亭國小前),
_&_79,_捷運大安站,_121.543060302734,_25.0330772399902,_25,_31,_復興南路/信義路三段(西南側),
_&_80,_建國和平路口,_121.537384033203,_25.0258502960205,_8,_42,_建國南路二段/和平東路二段(西北側),
_&_81,_仁愛醫院,_121.545631408691,_25.0375690460205,_4,_32,_大安路一段/仁愛路四段,
_&_82,_辛亥新生路口,_121.534561157227,_25.0224132537842,_15,_14,_辛亥路/新生南路(高架橋下),
_&_83,_東園國小,_121.497680664063,_25.0233936309814,_25,_7,_東園街/萬大路344巷(東南側),
_&_84,_民權復興路口,_121.545135498047,_25.0623435974121,_12,_34,_復興北路/民權東路三段(東北側),
_&_85,_延平國宅,_121.510307312012,_25.0789089202881,_13,_13,_延平北路五段一巷40號前,
_&_86,_明志國中,_121.488983154297,_25.0633964538574,_32,_14,_中正北路107號,
_&_87,_龍門廣場,_121.548248291016,_25.040901184082,_29,_23,_忠孝東路/敦化南路(西南側廣場）,
